iter	MultiClass
0	0.6620146882
1	0.5274851022
2	0.4642135049
3	0.4227094093
4	0.3972255452
5	0.3808936948
6	0.3670346142
7	0.3570890189
8	0.3501583739
9	0.3436993451
10	0.333488569
11	0.3284826884
12	0.3248691181
13	0.3221406217
14	0.3196104735
15	0.3181172969
16	0.3158024036
17	0.310694169
18	0.30818314
19	0.3075406175
20	0.304276529
21	0.301567767
22	0.2995862295
23	0.297817508
24	0.2969919622
25	0.2960508538
26	0.2934291362
27	0.2916591718
28	0.2908809085
29	0.2902932596
30	0.28914483
31	0.2877395058
32	0.2856041403
33	0.2845977185
34	0.2831617
35	0.2820056071
36	0.2809237315
37	0.2796187842
38	0.278369233
39	0.2772412624
40	0.2763721638
41	0.2757090602
42	0.2747671174
43	0.2742080752
44	0.2730551354
45	0.2724444331
46	0.2716047116
47	0.2708883453
48	0.270104867
49	0.2694189651
50	0.267519421
51	0.2672389505
52	0.2659767172
53	0.2653800888
54	0.2648024008
55	0.2640964692
56	0.2623597338
57	0.2617993438
58	0.260567222
59	0.2595343557
60	0.2590597533
61	0.2585986443
62	0.258156627
63	0.2578042702
64	0.2571991523
65	0.2567860172
66	0.2562832117
67	0.256110908
68	0.255881919
69	0.2553708958
70	0.2550418176
71	0.2543427472
72	0.2541676404
73	0.2534004318
74	0.2525541706
75	0.2521042703
76	0.2517805957
77	0.2516248714
78	0.2509768556
79	0.2506299497
80	0.2499890523
81	0.2494598858
82	0.2491294355
83	0.2485233001
84	0.2475291047
85	0.2467983137
86	0.2461073206
87	0.245582358
88	0.2451390033
89	0.244595373
90	0.2440860244
91	0.243858863
92	0.2436846204
93	0.2433165754
94	0.2428940688
95	0.2420304015
96	0.2418546132
97	0.2415041257
98	0.2410825964
99	0.2409067896
