iter	Passed	Remaining
0	153	15219
1	173	8486
2	190	6166
3	210	5047
4	229	4364
5	247	3884
6	268	3567
7	288	3315
8	306	3102
9	325	2925
10	343	2780
11	363	2667
12	382	2561
13	401	2463
14	418	2371
15	435	2285
16	453	2215
17	471	2147
18	490	2089
19	506	2026
20	527	1986
21	549	1948
22	569	1906
23	591	1872
24	609	1829
25	628	1789
26	651	1760
27	671	1727
28	695	1701
29	715	1668
30	736	1639
31	756	1608
32	779	1583
33	799	1551
34	820	1523
35	840	1494
36	859	1464
37	879	1435
38	898	1405
39	917	1376
40	936	1348
41	953	1317
42	970	1287
43	989	1259
44	1007	1231
45	1025	1204
46	1044	1177
47	1060	1149
48	1078	1122
49	1097	1097
50	1119	1075
51	1138	1051
52	1157	1026
53	1176	1002
54	1194	977
55	1212	952
56	1232	929
57	1251	906
58	1270	882
59	1287	858
60	1306	835
61	1325	812
62	1342	788
63	1359	764
64	1378	742
65	1396	719
66	1414	696
67	1432	674
68	1450	651
69	1468	629
70	1485	606
71	1504	585
72	1522	563
73	1540	541
74	1560	520
75	1580	499
76	1599	477
77	1617	456
78	1637	435
79	1656	414
80	1674	392
81	1694	372
82	1713	350
83	1733	330
84	1752	309
85	1771	288
86	1789	267
87	1809	246
88	1828	225
89	1846	205
90	1864	184
91	1881	163
92	1898	142
93	1917	122
94	1935	101
95	1954	81
96	1971	60
97	1990	40
98	2009	20
99	2028	0
