hand_strength,action,profit_bb
0.25,raise,1.0
0.2,call,1.0
0.25,fold,-0.5
0.125,call,1.0
0.3,raise,42.0
0.3,call,-2.0
0.4,raise,-200.0
0.25,raise,1.0
0.35,raise,12.0
0.525,raise,1.0
0.15,fold,-0.5
0.25,raise,1.0
0.2,raise,-5.72
0.1,fold,-0.5
1.0,raise,-35.24
0.25,call,-1.0
0.25,fold,-0.5
0.25,call,1.0
0.225,fold,-0.5
0.3,raise,1.0
0.25,raise,3.0
0.175,call,-6.03
0.325,raise,-36.0
0.3,call,-10.83
0.225,raise,1.0
0.4,raise,1.0
0.3,raise,3.0
0.175,raise,1.0
0.2,raise,1.0
0.2,call,-1.0
0.175,raise,3.0
0.2,raise,1.0
0.4,raise,3.0
0.3,raise,1.0
0.3,raise,-5.77
0.25,call,2.0
0.45,raise,1.0
0.225,call,-1.0
0.225,fold,-0.5
0.3,raise,1.0
0.2,raise,-41.77
0.225,call,2.0
0.225,raise,3.0
0.2,raise,1.0
0.3,fold,-0.5
0.2,call,200.0
0.25,raise,-5.81
0.2,raise,1.0
0.175,fold,-0.5
0.25,raise,-18.1
0.375,raise,1.0
0.225,raise,1.0
0.3,fold,-0.5
0.25,raise,1.0
0.2,raise,1.0
0.525,raise,1.0
0.225,raise,-21.0
0.1,raise,1.0
0.35,raise,1.0
0.3,call,2.0
0.25,fold,-0.5
0.25,raise,-45.0
0.3,raise,1.0
0.15,raise,1.0
0.25,fold,-0.5
0.15,call,-1.0
0.15,fold,-0.5
0.25,call,2.0
0.4,raise,5.7
0.15,call,-1.0
0.1,fold,-0.5
0.4,call,4.57
0.3,fold,-0.5
0.7,raise,1.0
0.15,fold,-0.5
0.175,raise,21.72
0.4,raise,5.74
0.275,raise,-9.0
0.15,fold,-0.5
0.15,raise,-22.5
0.4,raise,1.0
0.4,call,78.07
0.15,raise,1.0
0.225,raise,1.0
0.1,fold,-0.5
0.4,raise,-17.24
0.25,fold,-0.5
0.4,raise,7.31
0.125,fold,-0.5
0.2,raise,-9.0
0.35,raise,3.0
0.3,raise,1.0
0.3,fold,-0.5
0.2,raise,-22.5
0.4,raise,-64.8
0.15,raise,1.0
0.2,raise,-17.01
0.25,raise,1.0
0.3,fold,-0.5
0.25,raise,1.0
0.15,fold,-0.5
0.25,raise,3.0
0.5,raise,-5.77
0.325,raise,1.0
0.175,fold,-0.5
0.5,raise,1.0
0.125,fold,-0.5
0.225,raise,1.0
0.55,raise,-21.0
0.225,call,-1.0
0.075,raise,-21.0
0.2,raise,-3.0
0.3,raise,108.0
0.2,call,-1.0
0.375,raise,1.0
0.3,call,-2.41
0.3,fold,-0.5
0.7,raise,1.0
0.175,raise,1.0
0.4,call,-2.41
0.1,fold,-0.5
0.275,raise,1.0
0.4,raise,3.0
0.25,call,1.0
0.2,raise,3.0
0.25,raise,1.0
0.3,raise,1.0
0.15,raise,1.0
0.275,raise,1.0
0.15,call,1.0
1.0,raise,1.0
0.4,raise,1.0
0.4,raise,5.77
0.225,call,4.64
1.0,raise,-14.65
0.4,raise,1.0
0.2,fold,-0.5
0.4,raise,1.0
0.25,fold,-0.5
0.2,raise,1.0
0.25,raise,0.0
0.4,call,1.0
0.2,fold,-0.5
0.25,call,-15.0
0.25,fold,-0.5
0.175,call,-2.0
0.15,fold,-0.5
0.15,call,-2.6
0.075,fold,-0.5
0.3,raise,1.0
0.4,raise,-15.45
0.2,raise,-6.0
0.25,raise,1.0
0.4,raise,1.0
0.325,raise,37.94
0.5,raise,1.0
0.25,raise,1.0
0.2,raise,1.0
0.15,fold,-0.5
0.075,call,-1.0
0.3,fold,-0.5
0.25,call,-2.41
0.375,raise,5.69
0.4,raise,-7.24
0.225,raise,3.0
0.3,call,-1.0
0.4,raise,-3.0
0.55,call,2.41
0.35,raise,-14.69
0.1,fold,-0.5
0.125,fold,-0.5
0.4,call,-2.41
0.125,fold,-0.5
0.15,raise,1.0
0.1,fold,-0.5
0.3,raise,-6.0
0.35,raise,35.68
0.175,call,-12.15
0.25,fold,-0.5
0.2,raise,1.0
0.25,raise,1.0
0.15,call,-2.41
0.35,raise,-36.02
0.25,raise,1.0
0.35,raise,-9.0
0.225,raise,-6.0
0.2,fold,-0.5
0.15,call,-1.0
0.25,raise,-5.81
0.25,call,5.27
0.125,fold,-0.5
0.25,raise,1.0
0.8,raise,34.98
0.175,raise,1.0
0.3,raise,5.69
0.3,raise,1.0
0.25,fold,-0.5
0.15,raise,1.0
0.35,raise,3.0
0.15,fold,-0.5
0.25,fold,-0.5
0.2,call,-1.0
0.35,raise,1.0
0.2,call,-1.0
0.2,fold,-0.5
0.275,raise,1.0
0.3,raise,5.81
0.525,call,2.41
0.35,raise,1.0
0.125,fold,-0.5
0.3,fold,-0.5
0.325,raise,1.0
0.25,raise,1.0
0.15,raise,1.0
0.2,fold,-0.5
0.35,raise,1.0
0.25,raise,1.0
0.15,call,-1.0
0.25,fold,-0.5
0.8,raise,1.0
0.6,raise,-3.0
0.2,call,1.0
0.4,raise,1.0
0.3,raise,18.79
0.25,raise,-21.0
0.35,call,-1.0
0.4,raise,3.0
0.4,raise,1.0
0.55,raise,1.0
0.4,raise,1.0
0.1,fold,-0.5
0.3,call,-12.45
0.25,fold,-0.5
0.25,raise,1.0
0.35,raise,1.0
0.175,call,-2.41
0.175,raise,-21.0
0.175,raise,1.0
0.5,raise,1.0
0.225,call,4.77
0.5,raise,1.0
0.2,raise,1.0
0.4,raise,1.0
0.4,call,2.0
0.4,raise,-50.69
0.3,call,-4.47
0.3,fold,-0.5
0.225,raise,18.22
0.225,raise,-5.83
0.15,call,-1.0
0.375,raise,-14.43
0.125,call,-1.0
0.2,fold,-0.5
0.3,raise,1.0
0.325,raise,1.0
0.2,call,12.39
0.25,fold,-0.5
0.25,raise,1.0
0.125,fold,-0.5
0.125,raise,55.56
0.25,raise,-14.08
0.4,raise,1.0
0.3,raise,3.0
0.2,raise,1.0
0.125,fold,-0.5
0.4,raise,3.0
1.0,raise,1.0
0.4,raise,1.0
0.175,raise,-3.0
0.2,raise,3.0
0.125,fold,-0.5
0.25,raise,1.0
0.55,raise,1.0
0.15,raise,1.0
0.075,fold,-0.5
0.175,raise,1.0
0.45,raise,1.0
0.15,raise,1.0
0.4,raise,6.03
0.1,call,2.0
0.15,fold,-0.5
0.25,call,2.41
0.525,raise,1.0
0.225,call,-2.41
0.125,fold,-0.5
0.45,raise,1.0
0.4,raise,1.0
0.15,raise,-6.0
0.25,fold,-0.5
0.5,raise,-30.0
0.7,raise,1.0
0.1,call,-1.0
0.2,fold,-0.5
0.4,raise,1.0
0.1,fold,-0.5
0.15,call,-4.56
0.4,raise,5.74
0.15,call,-12.53
0.4,raise,3.0
0.3,raise,-6.0
0.15,fold,-0.5
0.3,raise,1.0
0.15,fold,-0.5
0.35,raise,1.0
0.2,fold,-0.5
0.125,fold,-0.5
0.25,fold,-0.5
0.3,raise,1.0
0.45,raise,6.43
0.2,raise,-21.5
0.525,raise,3.0
0.3,raise,1.0
0.25,raise,-21.0
0.45,raise,1.0
0.3,fold,-0.5
0.3,call,1.0
0.8,raise,1.0
0.15,call,-1.0
0.3,raise,1.0
0.35,call,4.67
0.175,fold,-0.5
0.25,raise,1.0
0.15,fold,-0.5
0.55,raise,1.0
0.125,fold,-0.5
0.225,call,1.0
0.1,fold,-0.5
0.225,call,1.0
0.25,raise,5.79
0.15,raise,-7.14
0.3,raise,1.0
0.15,call,-1.0
0.8,raise,-35.68
0.2,raise,-3.0
0.15,fold,-0.5
0.25,raise,1.0
0.125,fold,-0.5
0.4,raise,1.0
0.525,raise,-91.03
0.4,raise,1.0
0.5,raise,3.0
0.325,raise,1.0
0.1,fold,-0.5
0.125,raise,1.0
0.2,fold,-0.5
0.3,raise,1.0
0.25,raise,-5.9
0.225,raise,-7.1
0.3,fold,-0.5
0.5,raise,1.0
0.175,fold,-0.5
0.3,raise,1.0
0.4,raise,5.84
0.125,fold,-0.5
0.2,fold,-0.5
0.15,raise,1.0
0.4,raise,5.74
0.2,call,1.0
0.3,fold,-0.5
0.125,raise,1.0
0.375,raise,1.0
0.2,raise,1.0
0.3,raise,14.05
0.2,raise,1.0
0.4,raise,-3.0
0.35,call,2.41
0.4,raise,-3.0
0.15,call,-1.0
0.4,raise,-3.0
0.175,raise,-22.5
0.4,raise,3.0
0.35,call,1.0
0.25,raise,3.0
0.35,raise,1.0
0.1,fold,-0.5
0.25,call,-1.0
0.2,fold,-0.5
0.075,fold,-0.5
0.1,fold,-0.5
0.125,call,-2.5
0.3,raise,1.0
0.5,raise,-17.24
0.125,fold,-0.5
0.25,raise,14.48
0.375,raise,3.0
0.2,call,5.91
0.3,raise,-21.0
0.3,call,2.48
0.2,fold,-0.5
0.15,raise,-3.0
0.2,fold,-0.5
0.175,call,1.0
0.15,fold,-0.5
0.125,call,-1.0
0.4,raise,5.65
0.25,call,-2.41
0.7,raise,1.0
0.25,raise,1.0
0.4,raise,3.0
0.3,call,2.0
0.1,fold,-0.5
0.3,raise,-3.0
0.175,raise,5.77
0.4,raise,1.0
0.3,fold,-0.5
0.25,raise,1.0
0.15,fold,-0.5
0.3,raise,1.0
0.2,fold,-0.5
0.15,raise,1.0
0.4,raise,-17.09
0.2,raise,1.0
0.2,fold,-0.5
0.2,call,-7.0
0.25,fold,-0.5
0.3,raise,-7.5
0.125,fold,-0.5
1.0,raise,1.0
0.125,fold,-0.5
0.125,call,12.33
0.2,fold,-0.5
0.15,call,-1.0
0.4,raise,1.0
0.25,raise,1.0
0.15,fold,-0.5
0.15,call,-1.0
0.25,fold,-0.5
0.4,raise,1.0
0.4,raise,-3.0
0.15,call,-4.0
0.2,raise,1.0
0.35,raise,1.0
0.8,raise,3.0
0.25,raise,-7.5
0.25,fold,-0.5
0.4,raise,1.0
0.15,raise,3.0
0.225,raise,1.0
0.4,raise,9.0
0.15,call,-3.0
0.15,fold,-0.5
0.225,call,-7.5
0.15,fold,-0.5
0.25,raise,1.0
0.125,fold,-0.5
0.25,call,-22.5
0.25,fold,-0.5
0.1,call,-1.0
0.225,fold,-0.5
0.3,raise,1.0
0.125,fold,-0.5
0.5,call,2.41
0.4,raise,1.0
0.45,call,200.0
0.4,raise,-15.18
0.125,raise,1.0
0.3,fold,-0.5
0.2,call,2.54
0.4,raise,-14.38
0.125,fold,-0.5
0.3,raise,1.0
0.4,raise,1.0
0.25,raise,14.74
0.15,call,-1.0
0.3,raise,1.0
0.45,raise,1.0
0.5,raise,3.0
0.25,raise,1.0
0.4,raise,5.69
0.55,raise,1.0
0.3,raise,-14.59
0.125,fold,-0.5
0.35,raise,7.84
0.4,call,29.28
0.3,fold,-0.5
0.125,call,-2.0
0.3,raise,1.0
0.125,fold,-0.5
0.3,raise,1.0
0.125,call,-1.0
0.25,raise,-21.0
0.3,raise,1.0
0.4,raise,7.5
0.125,raise,1.0
0.1,fold,-0.5
0.4,call,28.97
0.4,raise,1.0
0.2,raise,-3.0
0.3,fold,-0.5
0.525,call,-2.0
0.4,raise,-14.94
0.35,raise,1.0
0.075,raise,5.76
0.25,raise,1.0
0.325,raise,-13.93
0.15,call,-1.0
0.225,raise,-14.41
0.2,call,-4.58
0.15,fold,-0.5
0.2,call,-43.45
0.325,raise,-21.0
0.125,call,4.71
0.175,raise,1.0
0.225,raise,1.0
0.25,raise,97.96
0.15,fold,-0.5
0.525,raise,-3.0
0.25,call,-1.0
0.4,raise,-36.23
0.175,raise,1.0
0.3,raise,1.0
0.3,call,-2.5
0.25,fold,-0.5
0.3,raise,1.0
0.4,raise,-15.21
0.175,call,6.0
0.3,raise,3.0
0.425,call,1.0
0.25,raise,7.07
0.3,raise,-6.0
0.25,fold,-0.5
0.55,raise,1.0
0.25,fold,-0.5
0.2,call,-1.0
0.4,raise,3.0
0.25,call,-1.0
0.125,fold,-0.5
0.25,call,-2.49
0.4,raise,1.0
0.8,raise,-3.0
0.525,raise,5.74
0.125,fold,-0.5
0.3,raise,1.0
0.15,raise,1.0
0.25,fold,-0.5
0.3,raise,1.0
0.55,raise,5.72
0.3,call,-1.0
0.3,fold,-0.5
0.525,raise,-7.21
0.3,raise,1.0
0.3,call,30.37
0.2,raise,5.83
0.3,raise,1.0
0.2,fold,-0.5
0.35,call,-15.72
0.225,fold,-0.5
0.4,raise,1.0
0.15,fold,-0.5
0.2,raise,1.0
0.15,fold,-0.5
0.5,raise,1.0
0.175,raise,1.0
0.15,fold,-0.5
0.125,fold,-0.5
0.175,raise,1.0
0.25,fold,-0.5
0.2,call,-1.0
0.4,raise,3.0
1.0,raise,1.0
0.25,fold,-0.5
0.25,call,-1.0
0.25,fold,-0.5
0.2,raise,-9.0
0.15,fold,-0.5
0.15,call,-2.0
0.35,raise,3.0
0.175,call,-2.41
0.3,fold,-0.5
0.3,call,-4.62
0.225,raise,9.0
0.4,call,12.43
0.15,fold,-0.5
0.125,call,-2.0
0.125,fold,-0.5
0.25,raise,1.0
0.2,fold,-0.5
0.5,call,4.58
0.25,raise,6.0
0.225,raise,1.0
0.175,raise,1.0
0.4,raise,1.0
0.3,raise,14.97
0.225,raise,1.0
0.5,raise,5.66
0.3,raise,1.0
0.225,fold,-0.5
0.125,call,-1.0
0.3,fold,-0.5
0.4,raise,-15.0
0.15,fold,-0.5
0.15,fold,-0.5
0.1,fold,-0.5
0.075,fold,-0.5
0.2,fold,-0.5
0.25,raise,1.0
0.4,raise,14.43
0.2,raise,1.0
0.15,raise,3.0
0.5,raise,1.0
0.225,fold,-0.5
0.175,call,-2.55
0.325,raise,1.0
0.25,raise,14.99
0.25,raise,-36.0
0.3,raise,-6.0
0.35,raise,1.0
0.125,call,-6.2
0.175,raise,-14.79
0.25,raise,1.0
0.225,raise,1.0
0.225,raise,1.0
0.225,raise,-21.0
0.25,call,-3.0
0.2,raise,-9.0
0.4,call,5.04
0.325,raise,9.0
0.25,raise,1.0
0.15,fold,-0.5
0.25,call,-2.41
0.1,fold,-0.5
0.3,raise,1.0
0.5,raise,14.82
0.425,call,29.01
0.15,fold,-0.5
0.25,call,-4.66
0.3,raise,36.43
0.125,raise,1.0
0.2,fold,-0.5
0.25,call,-5.21
0.325,raise,-5.79
0.275,call,4.74
0.4,raise,-3.0
0.5,call,4.62
0.2,fold,-0.5
0.3,raise,3.0
0.3,raise,3.0
0.225,call,4.64
0.4,raise,3.0
0.3,raise,1.0
0.25,raise,3.0
0.275,call,-2.41
0.6,raise,21.0
0.4,raise,1.0
0.25,fold,-0.5
0.35,raise,1.0
0.225,raise,-9.0
0.25,raise,1.0
0.525,raise,1.0
0.25,raise,1.0
0.25,fold,-0.5
0.25,raise,1.0
0.3,fold,-0.5
0.3,raise,1.0
0.3,raise,3.0
0.3,raise,-3.0
0.55,raise,-14.27
0.4,raise,1.0
0.2,raise,-21.0
0.3,call,-1.0
0.175,raise,21.0
0.35,raise,1.0
0.4,raise,-14.53
0.25,raise,15.28
0.15,fold,-0.5
0.3,call,6.05
0.325,raise,3.0
0.15,call,-2.0
0.425,raise,1.0
0.3,raise,-3.0
0.25,fold,-0.5
0.125,fold,-0.5
0.4,raise,-15.27
0.45,raise,1.0
0.15,fold,-0.5
0.15,call,-6.0
0.15,raise,3.0
0.45,raise,-17.7
0.15,fold,-0.5
0.275,raise,1.0
0.35,raise,-39.85
0.3,call,-5.0
0.3,raise,-21.0
0.175,raise,1.0
0.4,raise,34.28
0.25,raise,1.0
0.125,fold,-0.5
0.225,call,-54.0
0.125,fold,-0.5
0.55,raise,1.0
0.25,fold,-0.5
0.4,raise,1.0
0.1,fold,-0.5
0.175,raise,1.0
0.15,fold,-0.5
0.25,call,-2.41
0.15,fold,-0.5
0.225,call,1.0
0.225,fold,-0.5
0.275,call,-15.91
0.075,fold,-0.5
0.3,raise,1.0
0.4,raise,-14.51
0.125,call,-2.0
0.25,fold,-0.5
0.4,raise,1.0
0.3,raise,5.77
0.375,raise,1.0
0.275,raise,1.0
0.175,raise,1.0
0.2,fold,-0.5
0.4,raise,1.0
0.2,raise,0.0
0.4,raise,1.0
0.25,fold,-0.5
0.275,call,-15.08
0.25,raise,3.0
0.3,raise,1.0
0.425,raise,1.0
