phase,hand_strength,num_bets,pot_size_bb,to_call_bb,action,hero_profit,street,board_paired,board_flush_possible,board_straight_possible
preflop,0.3,1,1.5,0.0,raise,10,,,,
preflop,0.2,1,1.5,0.0,raise,70,,,,
postflop,0.2745912623961404,0,5.5,0.0,call,70,Flop,0.0,1.0,0.0
postflop,0.2745912623961404,1,7.5,2.0,raise,70,Flop,0.0,1.0,0.0
postflop,0.27499329938354333,0,9.5,0.0,call,70,Turn,0.0,1.0,0.0
postflop,0.27499329938354333,1,11.5,2.0,call,70,Turn,0.0,1.0,0.0
postflop,0.27499329938354333,0,13.5,0.0,raise,70,River,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,raise,-65,,,,
postflop,0.28785848298043415,0,5.5,0.0,call,-65,Flop,0.0,0.0,0.0
postflop,0.28785848298043415,1,7.5,2.0,raise,-65,Flop,0.0,0.0,0.0
postflop,0.2889305816135085,0,9.5,0.0,raise,-65,Turn,0.0,1.0,0.0
postflop,0.2889305816135085,0,13.5,0.0,call,-65,River,0.0,1.0,0.0
preflop,0.175,1,1.5,0.0,raise,30,,,,
postflop,0.025864379522916092,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.15,1,1.5,0.0,call,-5,,,,
postflop,0.008442776735459678,0,1.5,0.0,fold,-5,Flop,0.0,0.0,1.0
preflop,0.3,1,1.5,0.0,call,-65,,,,
postflop,0.08697400160814794,0,1.5,0.0,raise,-65,Flop,0.0,0.0,1.0
postflop,0.1648351648351648,0,5.5,0.0,raise,-65,Turn,0.0,0.0,0.0
postflop,0.16496917716429915,0,9.5,0.0,raise,-65,River,0.0,1.0,0.0
preflop,0.375,1,1.5,0.0,call,-5,,,,
postflop,0.04315196998123827,0,1.5,0.0,fold,-5,Flop,0.0,0.0,1.0
preflop,0.275,1,1.5,0.0,raise,-25,,,,
postflop,0.3539265612436344,0,5.5,0.0,fold,-25,Flop,0.0,0.0,1.0
preflop,0.125,1,1.5,0.0,call,-65,,,,
postflop,0.42120075046904315,0,1.5,0.0,raise,-65,Flop,1.0,0.0,1.0
postflop,0.4229429107477888,0,5.5,0.0,raise,-65,Turn,1.0,0.0,1.0
postflop,0.4229429107477888,0,9.5,0.0,raise,-65,River,1.0,0.0,0.0
preflop,0.125,1,1.5,0.0,call,-5,,,,
postflop,0.35473063521844006,0,1.5,0.0,call,-5,Flop,1.0,0.0,1.0
postflop,0.35473063521844006,1,3.5,2.0,fold,-5,Flop,1.0,0.0,1.0
preflop,0.4,1,1.5,0.0,call,10,,,,
postflop,0.53631734119539,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,call,-65,,,,
preflop,0.3,2,3.5,2.0,call,-65,,,,
postflop,0.08643795229161078,0,5.5,0.0,call,-65,Flop,0.0,0.0,0.0
postflop,0.08643795229161078,1,7.5,2.0,raise,-65,Flop,0.0,0.0,0.0
postflop,0.08871616188689357,0,9.5,0.0,raise,-65,Turn,0.0,0.0,0.0
postflop,0.39828464218708126,0,13.5,0.0,call,-65,River,1.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,-25,,,,
postflop,0.3056821227552935,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.5,1,1.5,0.0,raise,10,,,,
preflop,0.1,1,1.5,0.0,call,-5,,,,
postflop,0.03578129187885282,0,1.5,0.0,fold,-5,Flop,0.0,1.0,0.0
preflop,0.25,1,1.5,0.0,call,-5,,,,
postflop,0.3611632270168855,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,30,,,,
postflop,0.30782632002144195,0,5.5,0.0,raise,30,Flop,0.0,0.0,1.0
preflop,0.525,1,1.5,0.0,raise,-25,,,,
postflop,0.1378986866791745,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.35,1,1.5,0.0,raise,-25,,,,
postflop,0.3249798981506299,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.425,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,10,,,,
postflop,0.12838381131064058,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,raise,10,,,,
preflop,0.45,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
preflop,0.25,2,3.5,2.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.375,1,1.5,0.0,raise,30,,,,
postflop,0.05976949879388904,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.1,1,1.5,0.0,call,-5,,,,
postflop,0.3584829804341999,0,1.5,0.0,call,-5,Flop,0.0,1.0,1.0
postflop,0.5789332618600911,0,1.5,0.0,call,-5,Turn,0.0,1.0,0.0
postflop,0.5792012865183597,0,1.5,0.0,fold,-5,River,0.0,1.0,0.0
preflop,0.225,1,1.5,0.0,call,-65,,,,
postflop,0.4387563655856339,0,1.5,0.0,raise,-65,Flop,1.0,0.0,0.0
postflop,0.4458590190297508,0,5.5,0.0,raise,-65,Turn,1.0,0.0,0.0
postflop,0.4466630930045564,0,9.5,0.0,raise,-65,River,1.0,0.0,0.0
preflop,0.225,1,1.5,0.0,call,-5,,,,
postflop,0.03738943982846421,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
preflop,0.2,2,3.5,2.0,fold,-5,,,,
preflop,0.125,1,1.5,0.0,call,10,,,,
postflop,0.09086035915304203,0,1.5,0.0,raise,10,Flop,0.0,1.0,0.0
preflop,0.25,1,1.5,0.0,call,30,,,,
postflop,0.7468507102653443,0,1.5,0.0,call,30,Flop,1.0,0.0,1.0
postflop,0.9919592602519431,0,1.5,0.0,raise,30,Turn,1.0,0.0,1.0
postflop,0.9919592602519431,0,5.5,0.0,call,30,River,1.0,0.0,0.0
preflop,0.25,1,1.5,0.0,call,10,,,,
postflop,0.5849638166711337,0,1.5,0.0,raise,10,Flop,1.0,0.0,1.0
preflop,0.125,1,1.5,0.0,call,10,,,,
postflop,0.09059233449477355,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,call,30,,,,
preflop,0.25,2,3.5,2.0,raise,30,,,,
postflop,0.4201286518359689,0,5.5,0.0,raise,30,Flop,1.0,0.0,1.0
preflop,0.15,1,1.5,0.0,fold,-5,,,,
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.225,1,1.5,0.0,call,-5,,,,
postflop,0.4049852586437952,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,call,10,,,,
postflop,0.08295363173411952,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,raise,-65,,,,
postflop,0.2886625569552399,0,5.5,0.0,raise,-65,Flop,0.0,0.0,1.0
postflop,0.2886625569552399,0,9.5,0.0,raise,-65,Turn,0.0,1.0,0.0
postflop,0.2886625569552399,0,13.5,0.0,call,-65,River,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,call,10,,,,
postflop,0.2991155186277138,0,1.5,0.0,raise,10,Flop,0.0,0.0,1.0
preflop,0.425,1,1.5,0.0,fold,-5,,,,
preflop,0.15,1,1.5,0.0,call,-5,,,,
postflop,0.1192709729295095,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.225,1,1.5,0.0,raise,-65,,,,
postflop,0.07759313856874828,0,5.5,0.0,raise,-65,Flop,0.0,0.0,0.0
postflop,0.36772983114446534,0,9.5,0.0,raise,-65,Turn,1.0,0.0,0.0
postflop,0.36772983114446534,0,13.5,0.0,call,-65,River,1.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,10,,,,
preflop,0.225,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,raise,-25,,,,
postflop,0.5443580809434467,0,5.5,0.0,fold,-25,Flop,0.0,1.0,0.0
preflop,0.35,1,1.5,0.0,fold,-5,,,,
preflop,0.55,1,1.5,0.0,fold,-5,,,,
preflop,0.55,1,1.5,0.0,fold,-5,,,,
preflop,0.2,1,1.5,0.0,raise,10,,,,
preflop,0.525,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
postflop,0.1038595550790673,0,1.5,0.0,fold,-5,Flop,0.0,0.0,1.0
preflop,0.1,1,1.5,0.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,call,10,,,,
postflop,0.5304207987134817,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,raise,-45,,,,
postflop,0.2512731171267757,0,5.5,0.0,raise,-45,Flop,0.0,0.0,0.0
postflop,0.2515411417850443,0,9.5,0.0,fold,-45,Turn,0.0,0.0,0.0
preflop,0.45,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.275,1,1.5,0.0,raise,10,,,,
preflop,0.3,1,1.5,0.0,call,-45,,,,
postflop,0.4963816671133744,0,1.5,0.0,raise,-45,Flop,0.0,1.0,0.0
postflop,0.49651567944250874,0,5.5,0.0,raise,-45,Turn,0.0,1.0,0.0
postflop,0.5187617260787992,0,9.5,0.0,fold,-45,River,0.0,1.0,0.0
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,1.0,1,1.5,0.0,raise,30,,,,
