Unnamed: 0,prev_line,hero_pos,hero_holding,correct_decision,num_players,num_bets,available_moves,pot_size
0,HJ/2.0bb/CO/6.5bb/BTN/call/BB/allin,HJ,AhKc,fold,4,3,"['call', 'fold']",115.5
1,UTG/2.0bb/BTN/7.5bb/SB/20.0bb/BB/call/UTG/fold/BTN/allin,SB,AsAc,call,4,4,"['call', 'fold']",142.0
2,UTG/2.0bb/CO/call/BTN/9.5bb/BB/24.0bb/UTG/fold/CO/fold,BTN,KhJh,fold,4,3,"['allin', 'call', 'fold']",38.0
3,CO/2.3bb/BTN/call/SB/12.5bb,BB,AsAh,27.0bb,4,2,"['allin', '27.0bb', 'call', 'fold']",18.1
4,UTG/2.0bb/CO/call/BTN/9.5bb/SB/23.0bb/BB/allin/UTG/fold,CO,JhJd,fold,5,4,['fold'],136.5
5,HJ/2.0bb/BTN/7.5bb/SB/allin,BB,Qc9d,fold,4,3,"['call', 'fold']",110.5
6,UTG/2.0bb/CO/call/BTN/call,BB,Td8d,fold,4,1,"['14.0bb', 'fold']",7.5
7,UTG/2.0bb/HJ/6.5bb/BB/allin,UTG,AsAh,call,3,3,"['call', 'fold']",109.0
8,HJ/2.0bb/CO/call/BTN/9.5bb/SB/24.1bb/BB/call/HJ/fold/CO/fold/BTN/allin,SB,AhAd,call,5,4,"['call', 'fold']",152.2
9,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/call/CO/call/BTN/call,SB,ThTd,fold,5,2,"['allin', 'fold']",62.0
10,UTG/2.0bb/CO/call/BTN/call/BB/allin,UTG,AhKd,call,4,2,"['call', 'fold']",106.5
11,BTN/2.5bb/SB/call/BB/11.0bb/BTN/23.0bb/SB/fold/BB/allin,BTN,8s8c,fold,3,4,"['call', 'fold']",125.5
12,CO/2.3bb/BTN/call/SB/call/BB/14.0bb,CO,9s9d,call,4,2,"['31.0bb', 'allin', 'call', 'fold']",20.9
13,CO/2.3bb/BTN/call/BB/14.0bb/CO/fold,BTN,AhQs,fold,3,2,"['call', 'fold']",19.1
14,,BTN,Ac9s,2.5bb,1,0,"['2.5bb', 'fold']",1.5
15,UTG/2.0bb,CO,Jc6c,fold,2,1,"['6.5bb', 'fold']",3.5
16,HJ/2.0bb/CO/6.5bb/BTN/13.1bb/BB/25.8bb/HJ/call/CO/fold/BTN/allin,BB,AsAd,call,4,5,"['call', 'fold']",158.6
17,HJ/2.0bb/CO/call/BTN/call,BB,6d6c,fold,4,1,"['15.0bb', 'fold']",7.5
